,Topic,Word,P
0,0,gunung_rap,0.030838354
1,0,cocok,0.024959326
2,0,tiket_masuk,0.024419304
3,0,nya,0.017739864
4,0,anak,0.016375462
5,0,utk,0.016181039
6,0,rap,0.016107535
7,0,aja,0.016002685
8,0,mahal,0.015779717
9,0,bawa,0.015039434
10,1,indah,0.0629165
11,1,pandang,0.030815288
12,1,bagus,0.029864443
13,1,dingin,0.023487207
14,1,cuaca,0.023293896
15,1,foto,0.019381553
16,1,nyaman,0.019300101
17,1,dagang,0.018648563
18,1,tiket_masuk,0.016189707
19,1,banget,0.015897123
20,2,bagus,0.05055631
21,2,tangkuban_perahu,0.047331534
22,2,kawah,0.022813343
23,2,bau_belerang,0.02276333
24,2,foto,0.020415373
25,2,wisata,0.017877597
26,2,perahu,0.01759885
27,2,jual,0.015993956
28,2,kunjung,0.015964504
29,2,tangkuban,0.015711524
30,3,dingin,0.036091577
31,3,pandang,0.032669943
32,3,bagus,0.032330453
33,3,alam,0.031349834
34,3,adem,0.024498567
35,3,bandung,0.023143936
36,3,nya,0.022907877
37,3,kawah,0.022393655
38,3,tempat,0.020358445
39,3,ramah,0.018136736
